Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/common_factors_classification,5743,0,2800.0,3157.119388344286,378.25977800093824,28189.7704610019,3290.1102211387774,3.157281727782202,0.0,2800,3300,3600,3700,4600,8600,9400,10000,28000,28000,28000
,Aggregated,5743,0,2800.0,3157.119388344286,378.25977800093824,28189.7704610019,3290.1102211387774,3.157281727782202,0.0,2800,3300,3600,3700,4600,8600,9400,10000,28000,28000,28000
