Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/common_factors_classification,280,0,9700.0,9533.6374417107,1585.1385340001798,14022.606960999838,3291.6071428571427,1.0321169181306686,0.0,9700,9800,9800,9900,10000,10000,11000,11000,14000,14000,14000
,Aggregated,280,0,9700.0,9533.6374417107,1585.1385340001798,14022.606960999838,3291.6071428571427,1.0321169181306686,0.0,9700,9800,9800,9900,10000,10000,11000,11000,14000,14000,14000
