Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/common_factors_classification,248,0,970.0,964.3667682782262,370.6188610001391,1647.917993999954,3289.7620967741937,1.0368443331797688,0.0,970,990,1000,1000,1000,1100,1100,1100,1600,1600,1600
,Aggregated,248,0,970.0,964.3667682782262,370.6188610001391,1647.917993999954,3289.7620967741937,1.0368443331797688,0.0,970,990,1000,1000,1000,1100,1100,1100,1600,1600,1600
