Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/common_factors_classification,161,0,970.0,956.4772600310818,485.80914299964206,1053.265080001438,3293.105590062112,1.0453943973433153,0.0,970,970,970,970,980,980,990,1000,1100,1100,1100
,Aggregated,161,0,970.0,956.4772600310818,485.80914299964206,1053.265080001438,3293.105590062112,1.0453943973433153,0.0,970,970,970,970,980,980,990,1000,1100,1100,1100
