Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/common_factors_classification,14789,0,2800.0,3183.6322931402156,223.40280500066,19562.935541995103,3291.7382514030696,3.1369437911255043,0.0,2800,3400,3700,3800,4700,9200,9500,9500,12000,19000,20000
,Aggregated,14789,0,2800.0,3183.6322931402156,223.40280500066,19562.935541995103,3291.7382514030696,3.1369437911255043,0.0,2800,3400,3700,3800,4700,9200,9500,9500,12000,19000,20000
