Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/common_factors_classification,203,0,5300.0,6022.782004325155,1507.4955909949495,16713.694161000603,3291.1231527093596,1.5299630146207055,0.0,5300,6400,7300,9500,11000,13000,14000,15000,17000,17000,17000
,Aggregated,203,0,5300.0,6022.782004325155,1507.4955909949495,16713.694161000603,3291.1231527093596,1.5299630146207055,0.0,5300,6400,7300,9500,11000,13000,14000,15000,17000,17000,17000
