Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/common_factors_classification,6699,0,2700.0,2706.368125066578,363.1277710010181,10901.744369999506,3292.077026421854,3.6831823719945125,0.0,2700,3100,3500,3600,4100,4500,5100,5600,10000,11000,11000
,Aggregated,6699,0,2700.0,2706.368125066578,363.1277710010181,10901.744369999506,3292.077026421854,3.6831823719945125,0.0,2700,3100,3500,3600,4100,4500,5100,5600,10000,11000,11000
